화랑도	hwarangdo
참전	ch'amjŏn
킑	k'ik
쎟	sse
횅	hwaeng
식량	singnyang
촜	ch'ot
셕	sŏk
제도사.	chedosa.
두희	tuhŭi
낱낱이	nannach'i
결정직	kyŏlchŏngjik
민요	minyo
"아니라니까"""	"aniranikka"""
횡포	hoengp'o
과학자들	kwahakchadŭl
만난다	mannanda
퓔	p'il
백탑파	paekt'app'a
그랑기뇰	kŭrangginyol
오작교	ojakkyo
듀나	tyuna
소학	sohak
13장	13-chang
이들	idŭl
뢣	nwael
택	t'aek
컨설턴트	k'ŏnsŏlt'ŏnt'ŭ
긯	ki
후회	huhoe
뉳	nwi
흼	hŭim
흔들리는	hŭndŭllinŭn
쮜	tchwi
원활화	wŏnhwarhwa
빏	pip
섉	syaek
파페	p'ap'e
우주심	ujusim
괹	koen
관계성	kwanʼgyesŏng
"전망"""	"chŏnmang"""
꾸러기	kkurŏgi
재헌	chaehŏn
연순	yŏnsun
배운다는	paeundanŭn
포스트모던	p'osŭt'ŭmodŏn
인섭	insŏp
처형	ch'ŏhyŏng
근표	kŭnp'yo
군사	kunsa
7선	7sŏn
준곤	chungon
윤철	yunch'ŏl
3회	3hoe
예빈도	yebindo
쉐이크	sweik'ŭ
내막	naemak
싸우기	ssaugi
20년간	20-yŏn'gan
맑고	malko
추적	ch'ujŏk
상용화	sangyonghwa
독송회	toksonghoe
화한	hwahan
길들이기	kildŭrigi
취려	ch'wiryŏ
전통	chŏnt'ong
만나다	mannada
안전	anjŏn
상신	sangsin
지도자론	chidojaron
유학기	yuhakki
철산	ch'ŏlsan
쫓는	tchonnŭn
뿡	ppung
주변	chubyŏn
잊었지만	ijŏtchiman
잡문집.	chammunjip
유대교	yudaegyo
틡	t'il
앸	aek
희명	hŭimyŏng
헌천화	hŏnch'ŏnhwa
100만	100-man
운희	unhŭi
쾘	k'wael
퍼거	p'ŏgŏ
'신건젱이'	'sin'gŏnjengi'
성서적	sŏngsŏjŏk
탆	t'an
1997년	1997-yŏn
가나	kana
부쥡들	pujangdŭl
'힘	'him
위량	wiryang
수호	suho
합창	hapch'ang
부른다	purŭnda
층위	ch'ŭngwi
왃	wak
졜	chel
노무라	nomura
거목들	kŏmoktŭl
휴전	hyujŏn
조지	choji
관효	kwanhyo
튕	t'wing
갘	kak
팝콘	p'apk'on
쯋	tchyut
규익	kyuik
위작	wijak
알바들	albadŭl
귌	kwil
전문화	chŏnmunhwa
뜔	ttyul
종진	chongjin
출가	ch'ulga
당한	tanghan
오버더퍼	obŏdŏp'ŏ
시진	si
색달	saektal
랝	naen
벬	pel
좄	chot
사십년	sasimnyŏn
15세기	15-segi
채혁	ch'aehyŏk
2학년	2-hangnyŏn
홫	hwat
한곤	hangon
분단사	pundansa
아리카와	arik'awa
되짚어본	toejip'ŏbon
회동	hoedong
학술사적	haksulsajŏk
뭷	mwep
역적전	yŏkchŏkchŏn
량문록	yangmullok
열상	yŏlsang
죽어서도	chugŏsŏdo
일기'	ilgi'
출발선	ch'ulbalsŏn
총회	ch'onghoe
성적순	sŏngjŏksun
토착화	t'och'akhwa
메모광	memogwang
뒴	twim
다문화적	tamunhwajŏk
냼	nyaem
종단기	chongdan'gi
경원	kyŏngwŏn
나고야	nagoya
혜석	hyesŏk
삟	ppil
2세들	2-sedŭl
가면서	kamyŏnsŏ
전면적	chŏnmyŏnjŏk
백승	paeksŭng
사문	samun
"있습니다"""	"itsŭmnida"""
픖	p'ŭp
트라클	t'ŭrak'ŭl
교차	kyoch'a
동해	tonghae
토계	t'ogye
가까이	kakkai
운영.	unyŏng.
항일	hangil
신가	sin'ga
넕	nŏl
탐사.	t'amsa.
경위	kyŏngwi
찾아온	ch'ajaon
의학적	ŭihakchŏk
탈북자들	t'albukchadŭl
웹툰	wept'un
팔레스타인	p'allesŭt'ain
도로시	torosi
급박	kŭppak
재심	chaesim
팔복	p'albok
마구	magu
위만	wiman
녀가수	yŏgasu
탘	t'ak
응축	ŭngch'uk
요시무라	yosimura
마술사	masulsa
쓰기'	ssŭgi'
원자	wŏnja
은퇴	ŭnt'oe
협상	hyŏpsang
남가몽	namgamong
돼	twae
이반	iban
배출	paech'ul
세계여	segyeyŏ
싶지?	sipchi?
240일	240-il
녀사	yŏsa
2050년	2050-yŏn
후쿠시마	huk'usima
시민성	siminsŏng
116주년	116-chunyŏn
개정	kaejŏng
일궈낸	ilgwŏnaen
경작	kyŏngjak
수혁	suhyŏk
노동자들.	nodongjadŭl.
랳	nae
온몸	onmom
선구적	sŏnʼgujŏk
주류화	churyuhwa
상부	sangbu
밙	pan
목현	mokhyŏn
윤대	yundae
하네	hane
한밭	hanbat
주형	chuhyŏng
대문	taemun
백설	paeksŏl
굿모닝!	kunmoning!
일민	ilmin
법이론적	pŏbironjŏk
수사록	susarok
쥈	chwet
몸짓	momchit
될래!	toellae!
고르고	korŭgo
속찬	sokch'an
없었을까	ŏpssŏssŭlkka
탐험로	t'amhŏmno
창조적인	ch'angjojŏgin
뇻	yot
고송	kosong
차용	ch'ayong
맞는	mannŭn
열암	yŏram
끼고	kkigo
영화'	yŏnghwa'
영겁	yŏnggŏp
팡즈	p'angjŭ
개발구	kaebalgu
세력	seryŏk
윤배	yunbae
자치학	chach'ihak
민감	min'gam
철룡	ch'ŏryong
까라면	kkaramyŏn
승록	sŭngnok
콘스탄틴	k'onsŭt'ant'in
조이스	choisŭ
문화재!	munhwajae!
쾙	k'wael
사위	sawi
성락	sŏngnak
뭔	mwŏn
칠정	ch'ilchŏng
푸코	p'uk'o
퓤	p'ik
수장품	sujangp'um
밭	pat
륛	yuk
은별	ŭnbyŏl
로보트	robot'ŭ
신데렐라	sinderella
24회	24-hoe
친환경적	ch'inhwan'gyŏngjŏk
주숙	chusuk
인가?	in'ga?
법제	pŏpche
러시안	rŏsian
현보	hyŏnbo
볧	pyel
폐허	p'yehŏ
겄	kŏt
다중적	tajungjŏk
쥌	chwek
덥	tŏp
여성사	yŏsŏngsa
있는가	innŭn'ga
타악기	t'aakki
상석	sangsŏk
포스트-김	p'osŭt'ŭ-kim
아저씨들	ajŏssidŭl
22년	22-yŏn
갔어	kassŏ
되네	toene
옓	yep
태섭	t'aesŏp
남계리	namgye-ri
재진(전	chŏn
이흥	ihŭng
전라도	chŏllado
가와사키	kawasak'i
찬구	ch'angu
옥조	okcho
좀	chom
화이	hwai
쏹	sswan
우릉	urŭng
구럼비	kurŏmbi
뽴	ppwak
뻷	ppep
만날수록	mannalsurok
쇠물	soemul
전	chŏn
방아	panga
진감	chin'gam
천자문	ch'ŏnjamun
반복된	panboktoen
초펠	ch'op'el
가족론	kajongnon
윢	yuk
저상	chŏsang
뭉클한	mungk'ŭrhan
귕	kwing
쾏	k'waek
범절	pŏmjŏl
승필	sŭngp'il
절실	chŏlsil
룍	yok
보수주의	posujuŭi
곽	kwak
땁	ttap
5천년	5-ch'ŏnnyŏn
날까	nalkka
세창	sech'ang
수도작	sudojak
세이이치	seiich'i
담인	tamin
연태	yŏnt'ae
졠	chel
터뜨리다	t'ŏttŭrida
원태	wŏnt'ae
붱	pwŏng
사적(사적	sachŏk
뜨다	ttŭda
데	te
고려한	koryŏhan
개	kae
느끼다	nŭkkida
뀯	kkyut
휴식	hyusik
꼼쟁이	kkomjaengi
주시죠	chusijyo
민법	minpŏp
기술사	kisulsa
홱	hwaek
넥슨	neksŭn
슈퍼히어로	syup'ŏhiŏro
윤택	yunt'aek
여시	yŏsi
알짬	altcham
근전	kŭnjŏn
오바댜	obadya
쏻	sswat
비상도	pisangdo
밥값	papkap
택균	t'aekkyun
한인	hanin
형열	hyŏngyŏl
숞	sun
붠	pwŏn
랚	naek
라이	lai
정리	chŏngni
문물전.	munmulchŏn.
'미암	'miam
계주	kyeju
1-3부	1-3-pu
이민법	iminpŏp
유격	yugyŏk
시네마	sinema
호한	hohan
악장	akchang
챽	ch'yaek
출판인	ch'ulp'anin
구국	kuguk
20일.	20-il.
심장'	simjang'
'민주주의'	'minjujuui'
준필	chunp'il
틱	t'ik
꽃정	kkotchŏng
쓩	ssyung
월순	wŏlsun
밡	pal
콺	k'wam
국조	kukcho
이도	ido
삼별초	sambyŏlch'o
쇿	sok
요령	yoryŏng
뀘	kkwil
혼자서	honjasŏ
계량적	kyeryangjŏk
쟴	chyaem
떠나야	ttŏnaya
어찌씨	ŏtchissi
연감	yŏn'gam
속집	sokchip
6주년	6-chunyŏn
갓흔	kathŭn
인초	inch'o
레포츠	lep'och'ŭ
공예편	kongyep'yŏn
휱	hwit
흐른다'	hŭrŭnda'
뙔	ttwael
축제적	ch'ukchejŏk
50대	50-tae
백운동	paegundong
럛	nyaep
위기설	wigisŏl
열여섯	yŏl-yŏsŏt
매기	maegi
정비	chŏngbi
줲	chwŏp
동야	tongya
벼룩	pyŏruk
쬽	tchyop
눈보라	nunbora
여소학	yŏsohak
지휘	chihwi
큣	k'yut
유용한	yuyonghan
참동이	ch'amdongi
쑨거	ssun'gŏ
"언해"""	"ŏnhae"""
닦기	takki
동반	tongban
장기적	changgijŏk
정애	chŏngae
천연	ch'ŏnyŏn
지었나	chiŏnna
의군	ŭigun
켆	k'en
건	kŏn
성래	sŏngnae
송은	songŭn
통쾌	t'ongk'wae
언론법	ŏllonpŏp
여백	yŏbaek
중건	chunggŏn
펼쳐진	p'yŏlch'yŏjin
파대	p'adae
시상적	sasangjŏk
택조	t'aekcho
쬧	tchoet
헌홍	hŏnhong
제민	chemin
강좌	kangjwa
속뜰	sokttŭl
칛	ch'ik
성혼록	sŏnghollok
충주	ch'ungju
"""천수경"""	"""ch'ŏnsugyŏng"""
개헌	kaehŏn
지도.	chido.
뫋	mwat
통섭적	t'ongsŏpchŏk
모던	modŏn
일자	ilcha
'재미'	'chaemi'
야화기	yahwagi
사설	sasŏl
국명	kungmyŏng
30돐	30-tol
엌	ŏk
맥켄지	maekk'enji
말똥	malttong
문초	munch'o
앚	at
무주촌	muju-ch'on
47인	47-in
무안	muan
깐수	kkansu
힅	hŭit
"""귀향"""	"""kwihyang"""
십번기	sippŏn'gi
수이전	suijŏn
퓩	p'yuk
보시니	posini
파른본	p'arŭnbon
근조	kŭnjo
여왕벌	yŏwangbŏl
적장	chŏkchang
가족들	kajoktŭl
핁	p'in
40선	40-sŏn
씨네타운	ssinet'aun
쫓기는	tchotkinŭn
조사원	chosawŏn
모략	moryak
능가	nŭngga
챈	ch'aen
돿	twaek
중·근세	chunggŭnse
체계론적	ch'egyeronjŏk
꼴찌.	kkoltchi.
관하여	kwanhayŏ
백비	paekpi
평안	p'yongan
갑생	kapsaeng
한-동남아	han-tongnama
한가지	han-kaji
이탈	it'al
빼앗길	ppaeatkil
만들자	mandŭlja
상오	sango
성분론	sŏngbunnon
성분	sŏngbun
꿺	kkwem
공통점	kongt'ongchŏm
당수	tangsu
시황	sihwang
없고	ŏpko
시간제	siganje
뇩	yok
택무	t'aengmu
듳	tŭt
게바라	kebara
치다	ch'ida
파트너	p'at'ŭnŏ
사람들	saramdŭl
오셨습네까?	osyŏssŭmnekka?
신음	sinŭm
출동	ch'ultong
평시조	p'yŏngsijo
재결합	chaegyŏrhap
대두	taedu
송정	songjŏng
시가사	sigasa
출판사	ch'ulp'ansa
노유진	noyujin
연평도	yŏnp'yŏngdo
즐거웠던	chŭlgŏwŏttŏn
기다려	kidaryŏ
산아	sana
일웅	ilung
마명	mamyŏng
용출	yongch'ul
문학적	munhakchŏk
띚	ttŭit
핀테크	p'int'ek'ŭ
헷갈리	hetkalli
셵	sen
설계사	sŏlgyesa
"없이"""	"ŏpsi"""
짿	tchaet
딐	tik
은인	ŭnin
기념전	kinyŏmjŏn
훔쳤나	humch'yŏnna
좬	chwaen
조센진	chosenjin
있었는가	issŏnnŭn'ga
목사	moksa
계환	kyehwan
일으키자	irŭk'ija
그렉	kŭrek
희섭・	hŭi-sŏp
내무반	naemuban
정혁	chŏnghyŏk
애리시	aerisi
황룡사	hwangnyongsa
《오주	"""oju"
한국인상	sang
치숙	ch'isuk
진봉	chinbong
끝별	kkŭtpyŏl
볼테르	polt'erŭ
성찰	sŏngch'al
정빈	chŏngbin
아파트	ap'at'ŭ
낫다	natta
살아라	sarara
올빼미	olppaemi
제균	chegyun
멯	me
문란	mullan
떂	ttyap
옥중록	okchungnok
떙	ttyaeng
퀷	k'wik
촘스키	ch'omsŭk'i
싥	sik
진옥	chinok
연보.	yŏnbo.
첫날	ch'ŏnnal
달라이	dallai
섺	sek
묈	moel
남수	namsu
사유와	sayuwa
명불	myŏngbul
시업	siŏp
섳	sŏt
야로슬라블	yarosŭllabŭl
푐	p'oem
간척지	kanch'ŏkchi
성구	sŏnggu
퀋	k'wŏl
홨	hwat
혶	hyep
45명	45-myŏng
글.	kŭl.
영률	yŏngnyul
둦	tut
역모	yŏngmo
레인보우	reinbou
재명	chaemyŏng
제식적	chesikchŏk
띭	ttil
억	ŏk
순진	sunjin
법성포	pŏpsŏngp'o
세습무	sesŭmmu
성은	sŏngŭn
인승	insŭng
오만리	omalli
송가	songga
열리다	yŏllida
상빈	sangbin
영친	yŏngch'in
옥선	oksŏn
퇒	t'wat
구두당	kududang
에게	ege
인회	inhoe
뺜	ppyan
사건'	sakŏn'
수룡	suryong
색체	saekch'ae
송아지	songaji
"민족"""	"minjok"""
뼢	ppyŏp
반문명사적	panmunmyŏngsajŏk
도랑	torang
렬	yŏl
쥒	chwik
뻬	ppe
온타리오	ont'ario
일러스트	illŏsŭt'ŭ
뷢	pip
비동일화	pidongirhwa
첫	ch'ŏt
잕	chan
64명	64-myŏng
115가지	115-kaji
촵	ch'wap
뛊	ttwŏp
기구	kigu
반시대적	pansidaejŏk
까다	kkada
도전자	tojŏnja
32인	32-in
인형	inhyŏng
보약	poyak
촌철	ch'onch'ŏl
이스라엘	isŭrael
나도	nado
긴급	kin'gŭp
돚	tot
초중등	ch'ojungdŭng
트랜스리얼	t'ŭraensŭriŏl
실증적	silchŭngjŏk
2030년	2030-yŏn
홀리	holli
연구원장	yŏn'guwŏnjang
거버넌스	kŏbŏnŏnsŭ
패배자들	p'aebaejadŭl
청자	ch'ŏngja
뱛	pyal
교재	kyojae
줙	chwŏk
바구니	paguni
느림보	nŭrimbo
담대	tamdae
갑윤	kabyun
훈련학	hullyŏnhak
컵	k'ŏp
걸었던	kŏrŏttŏn
유명한	yumyŏnghan
공하	kongha
걸어라	kŏrŏra
왔다고	wattago
묟	myot
젦	chem
고무신	komusin
출입	ch'urip
다른강?	tarŭnʼgang?
행정	haengjŏng
졝	chek
부두	pudu
쏨	ssom
분네	punne
대시조전	taesijojŏn
첼로	ch'ello
뮥	myuk
소양인	soyangin
뒊	twek
나그네	nagŭne
찬영	ch'anyŏng
주일	chuil
열녀	yŏllyŏ
용궁	yonggung
낰	nak
사고	sago
59인	59-in
영일	yŏngil
통일법	t'ongilpŏp
연표.	yŏnp'yo.
릞	nip
강년	kangnyŏn
중화론	chunghwaron
범속	pŏmsok
명기자	myŏnggija
63년	63-yŏn
고려-몽골	koryŏ-monggol
팔십년대	p'alsimnyŏndae
노량진	noryangjin
경산	kyŏngsan
쪿	tchok
귯	kyut
바이칼	baik'al
럴	nŏl
촛점	ch'otchŏm
불교시	pulgyosi
편폭	p'yŏnp'ok
풀자	p'ulja
독살	toksal
어우동	ŏudong
36차	36-ch'a
연관성	yŏn'gwansŏng
35장면	35-changmyŏn
탈-이데올로기적	t'al-ideollogijŏk
선한	sŏnhan
뚯	ttut
연어	yŏnŏ
・일	il
덮다	tŏpta
자본주의	chabonjuŭi
살아도	sarado
꼽추네	kkopch'une
칠했다	ch'irhaetta
동녕	tongnyŏng
중원	chungwŏn
벌이	pŏri
수연	suyŏn
독고	tokko
이슬	isŭl
막대	maktae
헵	hep
면암	myŏnam
재승	chaesŭng
구비성	kubisŏng
오셨을까	osyŏssŭlkka
군정기	kunjŏnggi
럺	nŏp
뀙	kkwil
곶	kot
횸	hyom
푗	p'oet
잇기	itki
삮	sak
킣	k'i
법치	pŏpch'i
정한론	chŏnghallon
빓	pil
닌	nin
농법	nongpŏp
원흉	wŏnhyung
쑺	ssut
실리	silli
아포	ap'o
봉옥	pongok
소견서	sogyŏnsŏ
콇	k'yel
먼데이	mŏndei
폋	p'yŏt
접속	chŏpsok
파랑새	p'arangsae
준한	chunhan
왕	wang
5년사	5-yŏnsa
2015)년	2015)-yŏn
무위당	muwidang
절반	chŏlban
뮤지컬	myujik'ŏl
지키자	chik'ija
은철	ŭnch'ŏl
툰	t'un
선학	sŏnhak
큥	k'yung
디즈니	dijŭni
베스트	pesŭt'ŭ
군주제'	kunjuje'
신어야지	sinŏyaji
푸르다	p'urŭda
근술	kŭnsul
녀기자	yŏgija
주제네바	chujeneba
아플	ap'ŭl
3분	3pun
켛	k'e
가와무라	kawamura
멀리한	mŏllihan
102인	102-in
친노	ch'inno
방언학	pangŏnhak
십이지	sibiji
첵	ch'ek
쒚	sswŏp
마중	majung
나누기	nanugi
어두운	ŏduun
정주학	chŏngjuhak
현종	hyŏnjong
형상화	hyŏngsanghwa
모시던	mosidŏn
싸가지	ssagaji
옥구슬	okkusŭl
물류	mullyu
안내서	annaesŏ
정악	chŏngak
"""속"	"""sok"
쥢	chwip
찢	tchit
경종	kyŏngjong
질」	chil'
골프	golp'ŭ
망치는	mangch'inŭn
민중들	minjungdŭl
비속	pisok
북청	pukch'ŏng
종해	chonghae
하늘에	ha-nŭl-e
농정	nongjŏng
개방	kaebang
범죄적	pŏmjoejŏk
진기	chin'gi
저런	chŏrŏn
큀	k'wil
쳌	ch'ek
방가?	pangga?
항기	hanggi
펞	p'en
월랑	wŏllang
로동법	nodongpŏp
매력	maeryŏk
어머님	ŏmŏnim
되었습니까	toeŏtssŭmnikka
캐스팅	k'aesŭt'ing
가르칠까	karŭch'ilkka
겛	kel
쁞	ppŭn
복종	pokchong
실차난타	silch'anant'a
노걸대	nogŏltae
녹음	nogŭm
이다?	ida?
해섭	haesŏp
읊	ŭp
〓쥐	p'atchwi
샐러리맨	saellŏrimaen
덕기	tŏkki
규경	kyugyŏng
산호	sanho
농	nong
씚	ssŭip
장복이	changbogi
둹	twŏl
잠언집	chamŏnjip
추월	ch'uwŏl
일총	ilch'ong
꽖	kkwap
듮	tŭp
병춘	pyŏngch'un
농민화	nongminhwa
가부장제	kabujangje
현재	hyŏnjae
알싸한	alssahan
고가	koga
응답	ŭngdap
뭢	mwŏp
나오기	naogi
너무	nŏmu
는들	nŭndŭl
듹	tik
목은	mogŭn
귨	kyul
있나요?	innayo?
크레파스	k'ŭrep'asŭ
상극	sanggŭk
책들	ch'aektŭl
쌑	ssat
고찰	koch'al
걟	kyaep
창령	ch'ŏngnyŏng
협궤	hyŏpkwe
정다운	chŏngdaun
해륙	haeryuk
고은	koŭn
"""종북"	"""chongbuk"
부산학	pusanhak
한문화	hanmunhwa
지능	chinŭng
타이머	t'aimŏ
합당	haptang
녀성의	yŏsŏngŭi
전야	chŏnya
혁신론	hyŏksinnon
준량	chullyang
남민	nammin
깘	kkal
삥	pping
올가미	olgami
숰	suk
명기	myŏnggi
명탐정들	myŏngt'amjŏngdŭl
동의	tongŭi
킎	k'in
애치슨	aech'isŭn
5일	5il
병림	pyŏngrim
적록	chŏngnok
궁예	kungye
신영	sinyŏng
걆	kyap
중용	chungyong
춅	ch'ol
나들이	nadŭri
병리	pyŏngni
죠	cho
구파	kup'a
조훈	chohun
아십니까	asimnikka
칠곡군	ch'ilgok-kun
인철	inch'ŏl
빙애	pingae
누정기	nujŏnggi
피아간	p'iagan
하고	hago
놦	nwap
루마즈	rumajŭ
쨣	tchyal
헤련	hyeryŏn
가평군	kap'yŏng-gun
소형	sohyŏng
보내다	ponaeda
노무자	nomuja
잔인한	chaninhan
명추	myŏngch'u
가는가.	kanŭn'ga.
사유화	sayuhwa
특질론	tʹŭkchillon
이네	ine
오후	ohu
만화가	manhwaga
체호프	ch'ehop'ŭ
운송	unsong
특혜	t'ŭkhye
찰스	ch'alsŭ
재권	chaegwŏn
길	kil
역사!	yŏksa!
쐄	sswam
"거의록"""	"kŏŭirok"""
쌌	ssat
속가	sokka
픓	p'ŭl
관숙	kwansuk
큖	k'yun
경협	kyŏnghyŏp
8명	8myŏng
창인	ch'angin
키즈	k'ijŭ
쒳	sswet
대회	taehoe
갑준	kapjun
명령	myŏngnyŏng
퀫	k'wet
경영.	kyŏngyŏng.
렮	yŏm
찬용	ch'anyong
시편	sip'yŏn
정치기	chŏngch'igi
"""제국"	"""cheguk"
비데	bide
칠대	ch'iltae
쏲	ssop
연변학	yŏnbyŏnhak
현영	hyŏnyŏng
백암	paegam
개발적	kaebalchŏk
퓳	p'yup
텽	t'ŏng
근대적	kŭndaejŏk
땅	ttang
사물	samul
핸드북	haendŭbuk
소박	sobak
들인	tŭrin
사진전.	sajinjŏn.
헬퍼.	help'ŏ.
"""논어"""	"""nonŏ"""
철강	ch'ŏlgang
고민	komin
랜드	laendŭ
한국-말레이시아	han'guk-malleisia
귖	kwit
길소뜸	kilsottŭm
17집	17-chip
찜	tchim
벌기	pŏlgi
내관	naegwan
안양사	anyangsa
유목민적	yumongminjŏk
표환	p'yohwan
떭	ttŏl
철마	ch'ŏlma
24시간	24-sigan
1956-1957년	1956-1957-yŏn
일센	ilsen
하룻	harut
하련	haryŏn
가자	kaja
농산물	nongsanmul
다한	tahan
만하	manha
스베뜰라나	sŭbettŭllana
마스우종	masŭujong
롧	nop
논문	nonmun
담살이	tamsari
다듬어	tadŭmŏ
두고	tugo
인형극	inhyŏnggŭk
퀌	k'wŏm
쌍용차	ssangyongch'a
평가국	p'yŏngkaguk
첀	ch'yaen
코우세이	k'ousei
컝	k'yaeng
카스트로	k'asŭt'ŭro
태갑	t'aegap
뛐	ttwŏk
닥치고	takch'igo
기독교인	kidokkyoin
해녀	haenyŏ
뽙	ppot
고투	kot'u
작가들	chakkadŭl
문학촌	munhakch'on
듘	tuk
도무지	tomuji
지허	chihŏ
냮	nyaek
스승	sŭsŭng
없는	ŏmnŭn
권위주의적	kwŏnwijuŭijŏk
저지	chŏji
뭝	mwŏl
가재골	kajaekol
당파성	tangp'asŏng
참가	ch'amga
띩	ttik
시간관	sigan'gwan
소통	sot'ong
풡	p'wŏl
장보	changbo
위험	wihŏm
제공자	chegongja
꿌	kkut
용헌	yonghŏn
헌정집	hŏnjŏngjip
찬일	ch'anil
장수탕	changsut'ang
뫡	mwaek
쒑	sswŏp
뛼	ttwil
애정	aejŏng
충식	ch'ungsik
칇	ch'ip
촘	ch'om
다혜	tahye
냺	nyaep
30분	30-pun
어디	ŏdi
요란한	yoranhan
멀치아	mŏl-ch'i-a
홍섭	hongsŏp
원불교	wŏnbulgyo
해설사	haesŏlsa
옄	yŏk
먹칠	mŏkch'il
함평군	hamp'yŏng-gun
종착역	chongch'angnyŏk
정서법	chŏngsŏpŏp
'근대	'kŭndae
머쉰	mŏshwin
저작자	chŏchakcha
퍕	p'yap
고립	korip
아래쪽	araetchok
망고	manggo
전이	chŏni
창욱	ch'anguk
기숙	kisuk
동역학	tongyŏkhak
가려움	karyŏum
나우	nau
서진	sŏjin
퐎	p'wan
백문	paengmun
납ㆍ월북	nap-wŏlbuk
신복	sinbok
읋	ŭl
농악무	nongangmu
나카오	nak'ao
텙	t'el
퍐	p'yal
철도'	ch'ŏlto'
첷	ch'ek
유혹	yuhok
툏	t'oe
2006년	2006-yŏn
콘사리스	k'onsaisŭ
증폭	chŭngp'ok
알렌	allen
200년사	200-yŏnsa
재주	chaeju
남로당	namnodang
륔	nwik
40-년	40-yŏn
힢	hip
20제	20-che
낫	nat
거절	kŏjŏl
존요록	chonyorok
노근	nogŭn
54인	54-in
큮	k'ŭk
뒪	twin
한울회	hanurhoe
라운드	raundŭ
보경	pogyŏng
줘	chwŏ
쪦	tchyen
53회	53-hoe
요사채	yosach'ae
이뤄	irwŏ
줟	chwŏt
버섯	pŏsŏt
쩼	tchet
존재	chonjae
정용	chŏngyong
심판	simp'an
췤	ch'wek
가람	karam
찰로	ch'allo
쿉	k'yon
신관	sin'gwan
지배자	chibaeja
왡	waen
가야산	kayasan
국문론	kungmunnon
늑약	nŭgyak
파고	p'ago
웯	wet
공정한	kongjŏnghan
지장	chijang
장엄한	changŏmhan
지축	chich'uk
다루는	tarunŭn
마을사.	maŭlsa.
123편	123-p'yŏn
기쁨	kippŭm
챚	ch'aet
